address,latitude,longitude
"46, Rue Léon Gambetta 31000 Toulouse France",43.6032,1.44218
"10, Rue de Penthièvre 75008 Paris France",48.8733,2.3166
"47, Rue Antonin Perrin 69100 Villeurbanne France",45.7552,4.88573
"1, Place du Général Leclerc 91430 Vauhallan France",48.7345,2.20571
"43, Rue nationale 37380 Monnaie France",47.5023,0.790507
"12, Rue du Harlet 41200 Villefranche-sur-Cher France",47.2958,1.7741
"7, Route de Pin Balma 31130 Balma France",43.6134,1.50212
"14, Avenue du Marché 44500 La Baule-Escoublac France",47.2853,-2.39462
"2214, Boulevard de la Lironde 34980 Montferrier-sur-Lez France",43.6513,3.86418
"21, Rue d'Algérie 69001 Lyon France",45.7677,4.83229
"256, Boulevard Saint-Denis 92400 Courbevoie France",48.9039,2.27785
"76, Boulevard Emile Delmas 17000 La Rochelle France",46.1612,-1.21316
"66, Avenue des Champs-Élysées 75008 Paris France",48.8709,2.30543
"21, Rue de la Tillole 64100 Bayonne France",43.4903,-1.45414
"16, Rue Claude Bernard 91260 Juvisy-sur-Orge France",48.6958,2.372
"11, Rue Paul Chatrousse 92200 Neuilly-sur-Seine France",48.8865,2.26056
"68, Quai de Paludate 33800 Bordeaux France",44.8272,-0.551303
"17, Rue Sainte-Croix de la Bretonnerie 75004 Paris France",48.8581,2.35623
"11, Avenue des Trois Lucs 13012 Marseille France",43.3108,5.45923
"27, Avenue du Général de Gaulle 95230 Soisy-sous-Montmorency France",48.9848,2.29963
"118, Boulevard Gabriel Péri 93110 Rosny-sous-Bois France",48.8789,2.47267
"9, Rue Colette Besson 33140 Villenave-d'Ornon France",44.7779,-0.535199
"113, Rue de la République 13002 Marseille France",43.3044,5.36727
"6, Rue René Cassin 33300 Bordeaux France",44.8764,-0.57581
"104, Boulevard Victor Hugo 93400 Saint-Ouen France",48.9068,2.32505
"71, Avenue Victor Hugo 75116 Paris France",48.8703,2.2873
"167, Promenade des Anglais 06200 Nice France",43.6884,7.24019
"27, Avenue de l'Île de France 33370 Artigues-près-Bordeaux France",44.8464,-0.496587
"112, Avenue du Général de Gaulle 93110 Rosny-sous-Bois France",48.8803,2.47909
"250, Avenue du Président Wilson 93210 Saint-Denis France",48.9171,2.35806
"90, Allée de Pré Mayen 38330 Montbonnot-Saint-Martin France",45.2185,5.80409
"21c, Rue Jacques Cartier 78960 Voisins-le-Bretonneux France",48.7599,2.05714
"16, Avenue André Rouy 94350 Villiers-sur-Marne France",48.8231,2.54646
"18, Rue de la Commanderie 54000 Nancy France",48.687,6.17193
"83, Boulevard de l'Europe 13127 Vitrolles France",43.4213,5.26791
"831, Route d'Uzès 30100 Alès France",44.1124,4.10763
"2, Rue du Cap Vert 21800 Quetigny France",47.313,5.09274
"1, Rue Troyon 75017 Paris France",48.8755,2.29585
"9, Rue Léon Frot 75011 Paris France",48.8538,2.38781
"9, Cours Saint-Vincent 92130 Issy-les-Moulineaux France",48.8206,2.25353
"3, Rue Victor Schoelcher 29900 Concarneau France",47.9031,-3.90626
"39, Avenue Félix Faure 75015 Paris France",48.8412,2.28859
"192, Rue du General Bonnier  La Plaine des Cafres Réunion",-21.2506,55.5364
"10, Rue Saulnier 75009 Paris France",48.875,2.34456
"580, Rue Barthélémy Thimonier 50180 Agneaux France",49.1127,-1.13983
"8, Rue Jean Loret 50500 Carentan France",49.3034,-1.24173
"38, Rue de la Commune de Paris 93300 Aubervilliers France",48.9115,2.38057
"12, Rue Victor Hugo 95200 Sarcelles France",48.9959,2.38064
"20, Rue du Cap Vert 21800 Quetigny France",47.3105,5.09321
"50, Boulevard du Doyenné 49100 Angers France",47.49,-0.534883
"167, Rue de Beaugé 72000 Rouillon France",48.0119,0.153958
"3, Avenue du Professeur Jean Rouxel 44470 Carquefou France",47.299,-1.50291
"242, Rue du Faubourg Saint-Antoine 75012 Paris France",48.8491,2.38966
"26, Rue Colonel Dumont 38000 Grenoble France",45.1815,5.71953
"11, Rue du Queirelet 13480 Cabriès France",43.461,5.3523
